Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
500049,"Bharat Electronics Ltd.,",BEL,BHARAT ELECTRONICS LTD.,Active,A ,1.00,INE263A01024,Defence,Equity,
500052,"Bhansali Engineering Polymers Ltd.,",BEPL,BHANSALI ENGINEERING POLYMERS LTD.-$,Active,A ,1.00,INE922A01025,Specialty Chemicals,Equity,
500067,Blue Star Ltd,BLUESTARCO,BLUE STAR LTD.,Active,A ,2.00,INE472A01039,Consumer Electronics,Equity,
500084,"CESC Limited,",CESC,CESC LTD.,Active,A ,10.00,INE486A01013,Electric Utilities,Equity,
500085,Chambal Fertilisers & Chemicals Ltd,CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICALS LTD.,Active,A ,10.00,INE085A01013,Fertilizers,Equity,
500086,"Exide Industries Ltd.,",EXIDEIND,EXIDE INDUSTRIES LTD.,Active,A ,1.00,INE302A01020,Auto Parts & Equipment,Equity,
500087,"Cipla Ltd.,",CIPLA,CIPLA LTD.,Active,A ,2.00,INE059A01026,Pharmaceuticals,Equity,
500092,CRISIL Ltd.,CRISIL,CRISIL LTD.,Active,A ,1.00,INE007A01025,Other Financial Services,Equity,
500096,Dabur India Ltd.,DABUR,DABUR INDIA LTD.,Active,A ,1.00,INE016A01026,Personal Products,Equity,
500097,Dalmia Bharat Sugar and Industries Ltd,DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,Active,A ,2.00,INE495A01022,Sugar,Equity,
500101,"Arvind Ltd.,",ARVIND,ARVIND LTD.,Active,A ,10.00,INE034A01011,Textiles,Equity,
500103,"Bharat Heavy Electricals Ltd.,",BHEL,BHARAT HEAVY ELECTRICALS LTD.,Active,A ,2.00,INE257A01026,Heavy Electrical Equipment,Equity,
500104,Hindustan Petroleum Corporation Ltd,HINDPETRO,HINDUSTAN PETROLEUM CORPORATION LTD.,Active,A ,10.00,INE094A01015,Refineries/ Petro-Products,Equity,
500106,IFCI Ltd.,IFCI,IFCI LTD.,Active,A ,10.00,INE039A01010,Financial Institutions,Equity,
500109,Mangalore Refinery & Petrochemicals,MRPL,MANGALORE REFINERY & PETROCHEMICALS LTD.,Active,A ,10.00,INE103A01014,Refineries/ Petro-Products,Equity,
500110,Chennai Petroleum Corporation Ltd.,CHENNPETRO,CHENNAI PETROLEUM CORPORATION LTD.,Active,A ,10.00,INE178A01016,Refineries/ Petro-Products,Equity,
500112,"State Bank Of India,",SBIN,STATE BANK OF INDIA,Active,A ,1.00,INE062A01020,Banks,Equity,
500113,"Steel Authority of India Ltd.,",SAIL,STEEL AUTHORITY OF INDIA LTD.,Active,A ,10.00,INE114A01011,Iron & Steel/Interm.Products,Equity,
500114,Titan Company Limited,TITAN,Titan Company Limited,Active,A ,1.00,INE280A01028,Other Apparels & Accessories,Equity,
500116,IDBI Bank Ltd,IDBI,IDBI BANK LTD.,Active,A ,10.00,INE008A01015,Banks,Equity,
500119,"Dhampur Sugar Mills Ltd.,",DHAMPURSUG,DHAMPUR SUGAR MILLS LTD.,Active,A ,10.00,INE041A01016,Sugar,Equity,
500123,Elantas Beck India Ltd,ELANTAS,ELANTAS BECK INDIA LTD.-$,Active,A ,10.00,INE280B01018,Commodity Chemicals,Equity,
500124,"Dr. Reddy's Laboratories Ltd.,",DRREDDY,DR.REDDY'S LABORATORIES LTD.,Active,A ,5.00,INE089A01023,Pharmaceuticals,Equity,
500125,"E.I.D. Parry (India) Ltd.,",EIDPARRY,E.I.D.-PARRY (INDIA) LTD.,Active,A ,1.00,INE126A01031,Sugar,Equity,
500126,PROCTER & GAMBLE HEALTH LIMITED,PGHL,Procter & Gamble Health Ltd,Active,A ,10.00,INE199A01012,Pharmaceuticals,Equity,
500133,Esab India Ltd.,ESABINDIA,ESAB INDIA LTD.,Active,A ,10.00,INE284A01012,Other Industrial Goods,Equity,
500135,EPL LIMITED,EPL,EPL Ltd,Active,A ,2.00,INE255A01020,Containers & Packaging,Equity,
500144,"Finolex Cables Ltd.,",FINCABLES,FINOLEX CABLES LTD.,Active,A ,2.00,INE235A01022,Other Elect.Equip./ Prod.,Equity,
500148,Uflex Limited,UFLEX,UFLEX LTD.,Active,A ,10.00,INE516A01017,Containers & Packaging,Equity,
500163,"Godfrey Phillips India Ltd.,",GODFRYPHLP,GODFREY PHILLIPS INDIA LTD.,Active,A ,2.00,INE260B01028,Cigarettes-Tobacco Products,Equity,
500164,Godrej Industries Ltd.,GODREJIND,GODREJ INDUSTRIES LTD.,Active,A ,1.00,INE233A01035,Commodity Chemicals,Equity,
500165,Kansai Nerolac Paints,KANSAINER,KANSAI NEROLAC PAINTS LTD.,Active,A ,1.00,INE531A01024,Furniture-Furnishing-Paints,Equity,
500168,"Goodyear India Ltd.,",GOODYEAR,GOODYEAR INDIA LTD.,Active,A ,10.00,INE533A01012,Auto Tyres & Rubber Products,Equity,
500171,GHCL Ltd.,GHCL,GHCL LTD.,Active,A ,10.00,INE539A01019,Commodity Chemicals,Equity,
500173,GFL LIMITED,GFLLIMITED,GFL Ltd,Active,A ,1.00,INE538A01037,Industrial Gases,Equity,
500180,HDFC Bank Ltd.,HDFCBANK,HDFC Bank Ltd,Active,A ,1.00,INE040A01034,Banks,Equity,
500182,Hero MotoCorp Limited,HEROMOTOCO,HERO MOTOCORP LTD.,Active,A ,2.00,INE158A01026,2/3 Wheelers,Equity,
500184,Himadri Speciality Chemical Ltd.,HSCL,Himadri Speciality Chemical Ltd,Active,A ,1.00,INE019C01026,Specialty Chemicals,Equity,
500185,"Hindustan Construction Co. Ltd.,",HCC,HINDUSTAN CONSTRUCTION CO.LTD.,Active,A ,1.00,INE549A01026,Construction & Engineering,Equity,
500186,Hindustan Oil Exploration Co. Ltd.,HINDOILEXP,HINDUSTAN OIL EXPLORATION CO.LTD.,Active,A ,10.00,INE345A01011,Exploration & Production,Equity,
500188,"Hindustan Zinc Ltd.,",HINDZINC,HINDUSTAN ZINC LTD.,Active,A ,2.00,INE267A01025,Zinc,Equity,
500201,India Glycols Ltd,INDIAGLYCO,INDIA GLYCOLS LTD.,Active,A ,10.00,INE560A01015,Commodity Chemicals,Equity,
500209,Infosys Ltd,INFY*,INFOSYS LTD.,Active,A ,5.00,INE009A01021,IT Consulting & Software,Equity,
500210,Ingersoll-Rand (India) Ltd.,INGERRAND,INGERSOLL-RAND (INDIA) LTD.,Active,A ,10.00,INE177A01018,Industrial Machinery,Equity,
500214,Ion Exchange (India) Ltd,IONEXCHANG,ION EXCHANGE (INDIA) LTD.-$,Active,A ,10.00,INE570A01014,Industrial Machinery,Equity,
500215,Agro Tech Foods Ltd,ATFL,AGRO TECH FOODS LTD.,Active,A ,10.00,INE209A01019,Other Agricultural Products,Equity,
500219,"Jain Irrigation Systems Ltd.,",JISLJALEQS,JAIN IRRIGATION SYSTEMS LTD.,Active,A ,2.00,INE175A01038,Plastic Products,Equity,
500227,Jindal Poly Films Ltd.,JINDALPOLY,JINDAL POLY FILMS LTD.,Active,A ,10.00,INE197D01010,Containers & Packaging,Equity,
500228,JSW Steel Limited,JSWSTEEL,JSW STEEL LTD.,Active,A ,1.00,INE019A01038,Iron & Steel/Interm.Products,Equity,
500233,Kajaria Ceramics Ltd,KAJARIACER,KAJARIA CERAMICS LTD.,Active,A ,1.00,INE217B01036,Furniture-Furnishing-Paints,Equity,
500235,Kalyani Steels Ltd,KSL,KALYANI STEELS LTD.,Active,A ,5.00,INE907A01026,Iron & Steel/Interm.Products,Equity,
500238,Whirlpool of India Ltd,WHIRLPOOL,WHIRLPOOL OF INDIA LTD.,Active,A ,10.00,INE716A01013,Consumer Electronics,Equity,
500247,Kotak Mahindra Bank Ltd.,KOTAKBANK,KOTAK MAHINDRA BANK LTD.,Active,A ,5.00,INE237A01028,Banks,Equity,
500249,KSB LIMITED,KSB,KSB Ltd,Active,A ,10.00,INE999A01015,Industrial Machinery,Equity,
500250,L.g.Balkrishnan & Bros. Ltd.,LGBBROSLTD,L.G.BALAKRISHNAN & BROS.LTD.,Active,A ,10.00,INE337A01034,Auto Parts & Equipment,Equity,
500251,Trent Ltd [Lakme Ltd],TRENT,TRENT LTD.,Active,A ,1.00,INE849A01020,Specialty Retail,Equity,
500252,"Lakshmi Machine Works Ltd.,",LAXMIMACH,LAKSHMI MACHINE WORKS LTD.,Active,A ,10.00,INE269B01029,Industrial Machinery,Equity,
500253,Lic Housing Finance Ltd.,LICHSGFIN,LIC HOUSING FINANCE LTD.,Active,A ,2.00,INE115A01026,Housing Finance ,Equity,
500257,Lupin Ltd,LUPIN,LUPIN LTD.,Active,A ,2.00,INE326A01037,Pharmaceuticals,Equity,
500260,The Ramco Cements Limited,RAMCOCEM,The Ramco Cements Limited,Active,A ,1.00,INE331A01037,Cement & Cement Products,Equity,
500265,Maharashtra Seamless Ltd.,MAHSEAMLES,MAHARASHTRA SEAMLESS LTD.,Active,A ,5.00,INE271B01025,Iron & Steel Products,Equity,
500266,"Maharashtra Scooters Ltd.,",MAHSCOOTER,MAHARASHTRA SCOOTERS LTD.,Active,A ,10.00,INE288A01013,Investment Companies,Equity,
500271,Max Financial Services Limited,MFSL,Max Financial Services Ltd,Active,A ,2.00,INE180A01020,Life Insurance,Equity,
500285,SpiceJet Limited,SPICEJET,SPICEJET LTD.,Active,A ,10.00,INE285B01017,Airlines,Equity,
500288,Morepen Laboratories Ltd.,MOREPENLAB,MOREPEN LABORATORIES LTD.,Active,A ,2.00,INE083A01026,Pharmaceuticals,Equity,
500290,"M.R.F. Ltd.,",MRF,MRF LTD.,Active,A ,10.00,INE883A01011,Auto Tyres & Rubber Products,Equity,
500292,HeidelbergCement  India Limited,HEIDELBERG,HEIDELBERGCEMENT INDIA LTD.,Active,A ,10.00,INE578A01017,Cement & Cement Products,Equity,
500294,NCC Limited,NCC,NCC Limited,Active,A ,2.00,INE868B01028,Construction & Engineering,Equity,
500295,Vedanta Limited,VEDL,Vedanta Limited,Active,A ,1.00,INE205A01025,Aluminium,Equity,
500298,National Peroxide Ltd.,NATPEROX,NATIONAL PEROXIDE LTD.,Active,A ,10.00,INE585A01020,Commodity Chemicals,Equity,
500300,"Grasim Industries Ltd.,",GRASIM,GRASIM INDUSTRIES LTD.,Active,A ,2.00,INE047A01021,Cement & Cement Products,Equity,
500302,Piramal Enterprises Limited,PEL,PIRAMAL ENTERPRISES LTD.,Active,A ,2.00,INE140A01024,Other Financial Services,Equity,
500304,"NIIT Ltd.,",NIITLTD,NIIT LTD.,Active,A ,2.00,INE161A01038,IT Training Services,Equity,
500307,"Nirlon Limited,",NIRLON,NIRLON LTD.,Active,A ,10.00,INE910A01012,Diversified Commercial Services,Equity,
500312,Oil And Natural Gas Corporation Ltd,ONGC,Oil and Natural Gas Corporation Ltd,Active,A ,5.00,INE213A01029,Exploration & Production,Equity,
500325,Reliance Industries Ltd,RELIANCE,RELIANCE INDUSTRIES LTD.,Active,A ,10.00,INE002A01018,Integrated Oil & Gas,Equity,
500330,Raymond Limited,RAYMOND,RAYMOND LTD.,Active,A ,10.00,INE301A01014,Textiles,Equity,
500331,Pidilite Industries Ltd.,PIDILITIND,PIDILITE INDUSTRIES LTD.,Active,A ,1.00,INE318A01026,Specialty Chemicals,Equity,
500335,Birla Corporation Ltd.,BIRLACORPN,BIRLA CORPORATION LTD.,Active,A ,10.00,INE340A01012,Cement & Cement Products,Equity,
500336,"Surya Roshni Ltd.,",SURYAROSNI,SURYA ROSHNI LTD.,Active,A ,10.00,INE335A01012,Diversified,Equity,
500338,PRISM JOHNSON LIMITED.,PRSMJOHNSN,Prism Johnson Ltd,Active,A ,10.00,INE010A01011,Cement & Cement Products,Equity,
500339,Rain Industries Limited,RAIN,Rain Industries Ltd,Active,A ,2.00,INE855B01025,Petrochemicals,Equity,
500355,Rallis India Ltd,RALLIS,RALLIS INDIA LTD.,Active,A ,1.00,INE613A01020,Agrochemicals,Equity,
500378,Jindal Saw Ltd.,JINDALSAW,JINDAL SAW LTD.,Active,A ,2.00,INE324A01024,Construction & Engineering,Equity,
500380,JK Lakshmi Cement Limited,JKLAKSHMI,JK LAKSHMI CEMENT LTD.,Active,A ,5.00,INE786A01032,Cement & Cement Products,Equity,
500387,"Shree Cements Ltd.,",SHREECEM,SHREE CEMENT LTD.,Active,A ,10.00,INE070A01015,Cement & Cement Products,Equity,
500400,Tata Power Co. Ltd,TATAPOWER,TATA POWER CO.LTD.,Active,A ,1.00,INE245A01021,Electric Utilities,Equity,
500403,"Sundram Fasteners Ltd.,",SUNDRMFAST,SUNDRAM FASTENERS LTD.,Active,A ,1.00,INE387A01021,Auto Parts & Equipment,Equity,
500404,"Sunflag Iron & Steel Co. Ltd.,",SUNFLAG,SUNFLAG IRON & STEEL CO.LTD.,Active,A ,10.00,INE947A01014,Iron & Steel/Interm.Products,Equity,
500407,Swaraj Engines Ltd.,SWARAJENG,SWARAJ ENGINES LTD.,Active,A ,10.00,INE277A01016,Auto Parts & Equipment,Equity,
500408,Tata Elxsi Ltd,TATAELXSI,TATA ELXSI LTD.,Active,A ,10.00,INE670A01012,IT Software Products,Equity,
500410,ACC Ltd,ACC,ACC LTD.,Active,A ,10.00,INE012A01025,Cement & Cement Products,Equity,
500411,Thermax Ltd.,THERMAX,THERMAX LTD.,Active,A ,2.00,INE152A01029,Heavy Electrical Equipment,Equity,
500412,"Thirumalai Chemicals Ltd.,",TIRUMALCHM,THIRUMALAI CHEMICALS LTD.,Active,A ,1.00,INE338A01024,Commodity Chemicals,Equity,
500413,"Thomas Cook (India) Ltd.,",THOMASCOOK,THOMAS COOK (INDIA) LTD.,Active,A ,1.00,INE332A01027,Travel Support Services,Equity,
500420,Torrent Pharmaceuticals Ltd.,TORNTPHARM,TORRENT PHARMACEUTICALS LTD.,Active,A ,5.00,INE685A01028,Pharmaceuticals,Equity,
500425,Ambuja Cements Ltd.,AMBUJACEM,AMBUJA CEMENTS LTD.,Active,A ,2.00,INE079A01024,Cement & Cement Products,Equity,
500440,Hindalco Industries Ltd.,HINDALCO,HINDALCO INDUSTRIES LTD.,Active,A ,1.00,INE038A01020,Aluminium,Equity,
500444,West Coast Paper Mills Limited,WSTCSTPAPR,WEST COAST PAPER MILLS LTD.,Active,A ,2.00,INE976A01021,Paper & Paper Products,Equity,
500459,Procter & Gamble Hygiene & Health Care Ltd.,PGHH,PROCTER & GAMBLE HYGIENE & HEALTH CARE LTD.,Active,A ,10.00,INE179A01014,Personal Products,Equity,
500469,Federal Bank Ltd.,FEDERALBNK,FEDERAL BANK LTD.,Active,A ,2.00,INE171A01029,Banks,Equity,
500470,TATA STEEL LIMITED,TATASTEEL,TATA STEEL LTD.,Active,A ,10.00,INE081A01012,Iron & Steel/Interm.Products,Equity,
500472,SKF India Ltd.,SKFINDIA,SKF India Ltd,Active,A ,10.00,INE640A01023,Other Industrial Goods,Equity,
500477,"Ashok Leyland Ltd.,",ASHOKLEY,ASHOK LEYLAND LTD.,Active,A ,1.00,INE208A01029,Commercial Vehicles,Equity,
500480,"Cummins India Ltd.,",CUMMINSIND,CUMMINS INDIA LTD.,Active,A ,2.00,INE298A01020,Industrial Machinery,Equity,
500483,Tata Communications Limited,TATACOMM,TATA COMMUNICATIONS LTD.,Active,A ,10.00,INE151A01013,Telecom - Alternate Carriers,Equity,
500488,Abbott India Ltd.,ABBOTINDIA,ABBOTT INDIA LTD.,Active,A ,10.00,INE358A01014,Pharmaceuticals,Equity,
500490,Bajaj Holdings & Investment Limited,BAJAJHLDNG,BAJAJ HOLDINGS & INVESTMENT LTD.,Active,A ,10.00,INE118A01012,Holding Companies,Equity,
500493,Bharat Forge Ltd,BHARATFORG,BHARAT FORGE LTD.,Active,A ,2.00,INE465A01025,Other Industrial Products,Equity,
500495,"Escorts Limited,",ESCORTS,ESCORTS LTD.,Active,A ,10.00,INE042A01014,Commercial Vehicles,Equity,
500510,Larsen & Toubro Limited,LT,LARSEN & TOUBRO LTD.,Active,A ,2.00,INE018A01030,Construction & Engineering,Equity,
500520,Mahindra & Mahindra Ltd.,M&M,MAHINDRA & MAHINDRA LTD.,Active,A ,5.00,INE101A01026,Cars & Utility Vehicles,Equity,
500530,Bosch Ltd,BOSCHLTD,BOSCH LTD.,Active,A ,10.00,INE323A01026,Auto Parts & Equipment,Equity,
500547,"Bharat Petroleum Corpn. Ltd.,",BPCL,BHARAT PETROLEUM CORPORATION LTD.,Active,A ,10.00,INE029A01011,Refineries/ Petro-Products,Equity,
500550,"Siemens Ltd.,",SIEMENS,SIEMENS LTD.,Active,A ,2.00,INE003A01024,Heavy Electrical Equipment,Equity,
500570,Tata Motors Ltd.,TATAMOTORS,TATA MOTORS LTD.,Active,A ,2.00,INE155A01022,Commercial Vehicles,Equity,
500575,"Voltas Ltd.,",VOLTAS,VOLTAS LTD.,Active,A ,1.00,INE226A01021,Consumer Electronics,Equity,
500620,"Great Eastern Shipping Co. Ltd.,",GESHIP,GREAT EASTERN SHIPPING CO.LTD.,Active,A ,10.00,INE017A01032,Shipping,Equity,
500650,"Excell Industries Ltd.,",EXCELINDUS,EXCEL INDUSTRIES LTD.,Active,A ,5.00,INE369A01029,Specialty Chemicals,Equity,
500660,GlaxoSmithkline Pharmaceuticals Ltd.,GLAXO,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,Active,A ,10.00,INE159A01016,Pharmaceuticals,Equity,
500670,Gujarat Narmada Valley Fert.Co.Ltd,GNFC,GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LTD.,Active,A ,10.00,INE113A01013,Fertilizers,Equity,
500672,Novartis India Limited.,NOVARTIND,NOVARTIS INDIA LTD.,Active,A ,5.00,INE234A01025,Pharmaceuticals,Equity,
500674,Sanofi India Ltd,SANOFI,Sanofi India Ltd,Active,A ,10.00,INE058A01010,Pharmaceuticals,Equity,
500680,"Pfizer Ltd.,",PFIZER,PFIZER LTD.,Active,A ,10.00,INE182A01018,Pharmaceuticals,Equity,
500690,Gujarat State Fertilizers & Chem.Ltd,GSFC,GUJARAT STATE FERTILIZERS & CHEMICALS LTD.,Active,A ,2.00,INE026A01025,Fertilizers,Equity,
500696,"Hindustan Unilever Ltd.,",HINDUNILVR,HINDUSTAN UNILEVER LTD.,Active,A ,1.00,INE030A01027,Personal Products,Equity,
500710,Akzo Nobel India Limited,AKZOINDIA,Akzo Nobel India Limited,Active,A ,10.00,INE133A01011,Furniture-Furnishing-Paints,Equity,
500730,NOCIL Ltd,NOCIL,NOCIL LTD.,Active,A ,10.00,INE163A01018,Specialty Chemicals,Equity,
500770,Tata Chemicals Ltd,TATACHEM,TATA CHEMICALS LTD.,Active,A ,10.00,INE092A01019,Commodity Chemicals,Equity,
500790,Nestle India Ltd.,NESTLEIND,NESTLE INDIA LTD.,Active,A ,10.00,INE239A01016,Packaged Foods,Equity,
500800,TATA CONSUMER PRODUCTS LIMITED,TATACONSUM,Tata Consumer Products Ltd,Active,A ,1.00,INE192A01025,Tea & Coffee,Equity,
500820,Asian Paints Ltd.,ASIANPAINT,ASIAN PAINTS LTD.,Active,A ,1.00,INE021A01026,Furniture-Furnishing-Paints,Equity,
500825,"Britannia Industries Ltd.,",BRITANNIA,BRITANNIA INDUSTRIES LTD.,Active,A ,1.00,INE216A01030,Packaged Foods,Equity,
500830,"Colgate-Palmolive (India) Ltd.,",COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,Active,A ,1.00,INE259A01022,Personal Products,Equity,
500840,EIH Ltd,EIHOTEL,EIH LTD.,Active,A ,2.00,INE230A01023,Hotels,Equity,
500850,Indian Hotels Co. Ltd,INDHOTEL,INDIAN HOTELS CO.LTD.,Active,A ,1.00,INE053A01029,Hotels,Equity,
500870,Castrol India Ltd,CASTROLIND,CASTROL INDIA LTD.,Active,A ,5.00,INE172A01027,Oil Marketing & Distribution,Equity,
500875,ITC Ltd,ITC,ITC LTD.,Active,A ,1.00,INE154A01025,Cigarettes-Tobacco Products,Equity,
500877,Apollo Tyres Ltd,APOLLOTYRE,APOLLO TYRES LTD.,Active,A ,1.00,INE438A01022,Auto Tyres & Rubber Products,Equity,
500878,"Ceat Ltd.,",CEATLTD,CEAT LTD.,Active,A ,10.00,INE482A01020,Auto Tyres & Rubber Products,Equity,
500940,Finolex Industries Ltd.,FINOLEXIND,FINOLEX INDUSTRIES LTD.,Active,A ,2.00,INE183A01024,Plastic Products,Equity,
501301,"Tata Investment Corporation Ltd.,",TATAINVEST,TATA INVESTMENT CORPORATION LTD.,Active,A ,10.00,INE672A01018,Holding Companies,Equity,
501425,"Bombay Burmah Trading Corpn. Ltd.,",BBTC,BOMBAY BURMAH TRADING CORP.LTD.,Active,A ,2.00,INE050A01025,Tea & Coffee,Equity,
501455,Greaves Cotton Ltd.,GREAVESCOT,GREAVES COTTON LTD.,Active,A ,2.00,INE224A01026,Industrial Machinery,Equity,
502090,Sagar Cements Ltd,SAGCEM,SAGAR CEMENTS LTD.-$,Active,A ,10.00,INE229C01013,Cement & Cement Products,Equity,
502157,"Mangalam Cement Ltd.,",MANGLMCEM,MANGALAM CEMENT LTD.,Active,A ,10.00,INE347A01017,Cement & Cement Products,Equity,
502168,"NCL Industries Limited,",NCLIND,NCL INDUSTRIES LTD.-$,Active,A ,10.00,INE732C01016,Cement & Cement Products,Equity,
502355,"Balkrishna Industries Ltd.,",BALKRISIND,BALKRISHNA INDUSTRIES LTD.-$,Active,A ,2.00,INE787D01026,Auto Tyres & Rubber Products,Equity,
502450,"Seshasayee Paper & Boards Ltd.,",SESHAPAPER,SESHASAYEE PAPER & BOARDS LTD.,Active,A ,2.00,INE630A01024,Paper & Paper Products,Equity,
502986,Vardhman Textiles Limted,VTL,VARDHMAN TEXTILES LTD.,Active,A ,10.00,INE825A01012,Textiles,Equity,
503100,"The Phoenix Mills Ltd.,",PHOENIXLTD,The Phoenix Mills Ltd,Active,A ,2.00,INE211B01039,Realty,Equity,
503310,Swan Energy Ltd.,SWANENERGY,SWAN ENERGY LTD.,Active,A ,1.00,INE665A01038,Textiles,Equity,
503806,"SRF Ltd.,",SRF,SRF LTD.,Active,A ,10.00,INE647A01010,Diversified,Equity,
503960,"Bharat Bijlee Ltd.,",BBL,BHARAT BIJLEE LTD.-$,Active,A ,10.00,INE464A01028,Other Elect.Equip./ Prod.,Equity,
504067,Zensar Technologies Ltd.,ZENSARTECH,ZENSAR TECHNOLOGIES LTD.,Active,A ,2.00,INE520A01027,IT Consulting & Software,Equity,
504112,Nelco Ltd,NELCO,NELCO LTD.,Active,A ,10.00,INE045B01015,IT Networking Equipment,Equity,
504741,"Indian Hume Pipe Co. Ltd.,",INDIANHUME,INDIAN HUME PIPE CO.LTD.,Active,A ,2.00,INE323C01030,Cement & Cement Products,Equity,
504966,"Tinplate Company of India Ltd.,",TINPLATE,TINPLATE COMPANY OF INDIA LTD.,Active,A ,10.00,INE422C01014,Containers & Packaging,Equity,
504973,CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED,CHOLAHLDNG,Cholamandalam Financial Holdings Ltd,Active,A ,1.00,INE149A01033,Holding Companies,Equity,
505010,"Automotive Axles Ltd.,",AUTOAXLES,AUTOMOTIVE AXLES LTD.,Active,A ,10.00,INE449A01011,Auto Parts & Equipment,Equity,
505192,SML ISUZU LIMITED,SMLISUZU,SML ISUZU LIMITED,Active,A ,10.00,INE294B01019,Commercial Vehicles,Equity,
505200,Eicher Motors Ltd.,EICHERMOT,EICHER MOTORS LTD.,Active,A ,1.00,INE066A01021,2/3 Wheelers,Equity,
505255,GMM Pfaudler Ltd.,GMM,GMM PFAUDLER LTD.,Active,A ,2.00,INE541A01023,Industrial Machinery,Equity,
505355,Nesco Ltd,NESCO,NESCO LTD.,Active,A ,2.00,INE317F01035,Diversified Commercial Services,Equity,
505509,Responsive Industries Ltd,RESPONIND,RESPONSIVE INDUSTRIES LTD.,Active,A ,1.00,INE688D01026,Furniture-Furnishing-Paints,Equity,
505533,Westlife Development Ltd,WESTLIFE,WESTLIFE DEVELOPMENT LTD.,Active,A ,2.00,INE274F01020,Restaurants,Equity,
505537,Zee Entertainment Enterprises Ltd.,ZEEL,ZEE ENTERTAINMENT ENTERPRISES LTD.,Active,A ,1.00,INE256A01028,Broadcasting & Cable TV,Equity,
505714,Gabriel India Ltd.,GABRIEL,GABRIEL INDIA LTD.-$,Active,A ,1.00,INE524A01029,Auto Parts & Equipment,Equity,
505726,IFB Industries Limited,IFBIND,IFB INDUSTRIES LTD.,Active,A ,10.00,INE559A01017,Household Appliances,Equity,
505744,Federal-Mogul Goetze (India) Ltd,FMGOETZE,FEDERAL-MOGUL GOETZE (INDIA) LTD.,Active,A ,10.00,INE529A01010,Auto Parts & Equipment,Equity,
505790,Schaeffler India Limited,SCHAEFFLER,Schaeffler India Ltd,Active,A ,10.00,INE513A01014,Industrial Machinery,Equity,
505800,Rane Holdings Ltd.,RANEHOLDIN,RANE HOLDINGS LTD.,Active,A ,10.00,INE384A01010,Auto Parts & Equipment,Equity,
505890,Kennametal India Limtied,KENNAMET,KENNAMETAL INDIA LTD.-$,Active,A ,10.00,INE717A01029,Industrial Machinery,Equity,
506022,"Prakash Industries Ltd.,",PRAKASH,PRAKASH INDUSTRIES LTD.,Active,A ,10.00,INE603A01013,Iron & Steel/Interm.Products,Equity,
506076,Grindwell Norton Ltd.,GRINDWELL,GRINDWELL NORTON LTD.-$,Active,A ,5.00,INE536A01023,Other Industrial Products,Equity,
506197,Bliss GVS Pharma Limited,BLISSGVS,BLISS GVS PHARMA LTD.,Active,A ,1.00,INE416D01022,Pharmaceuticals,Equity,
